,Code,SMILES
198,CC02201,CC1=NC(C2=CC=C(S(OC3=CC=C(Cl)C=C3Cl)(=O)=O)S2)=CS1
199,CC04501,O=[N+]([O-])C1=C(NCCNC(OC(C)(C)C)=O)C=CC(C(F)(F)F)=C1
200,CC07501,C1(C2=CC=CS2)=CSC(C3=CC=CC=C3)=N1
201,CC11501,[O-][N+](C(C=C1C(F)(F)F)=C(C=C1)N2CCN(CCC2)C(OC(C)(C)C)=O)=O
202,CC12313,CC(C)(C)OC(N(CC1)CCC1O)=O
203,CC13701,CC1=NC(C2=CC=C(S(OC(C=C3)=CC=C3Cl)(=O)=O)S2)=CS1
204,CC15509,CC1=NC(C2=CC=C(S(N(CCC3)CCN3C4=NC(C5=CC=CC=C5)=NS4)(=O)=O)S2)=CS1
205,CC17501,O=[N+]([O-])C1=CC=CN=C1N2CCCNCC2
206,CC00105,O=C1N(C2=CN=CC=C2)C(SCC3=C(F)C=CC=C3Cl)=NC4=CC=CC=C14
207,CC01401,CC1=NC(C(F)(F)F)=CC=C1C2=NN=C(SCC3=C(F)C=CC=C3Cl)O2
208,CC02209,CC1=CC(C)=CC(C)=C1N2C(SCC3=C(F)C=CC=C3Cl)=NN=N2
209,CC04601,CC1=NC(C2=CC=C(S(OC3=CC=CC=C3Cl)(=O)=O)S2)=CS1
210,CC09201,O=[N+]([O-])C1=CC=CN=C1N(CCC2)CCN2C(NC3=CC=CC=C3C(F)(F)F)=O
211,CC11509,O=[N+]([O-])C1=CC=CN=C1N(CCC2)CCN2C(NC3=CC=CC(Cl)=C3C)=O
212,CC12331,O=C(OC(C)(C)C)NCCNC(C(N)=C1)=CC=C1C(F)(F)F
213,CC14001,O=[N+]([O-])C1=CC=CN=C1N(CCC2)CCN2C(NC3=CC=CC=C3)=O
214,CC15701,O=[N+]([O-])C1=CC=CN=C1N(CCC2)CCN2C(NC3=C(Cl)C=CC=C3C)=O
215,CC17522,O=C(N(CCC1)CCN1C2=NC=CC=C2[N+]([O-])=O)NC3=C(C=CC=C4)C4=CC=C3
216,CC00123,ClC(C=C1)=CC2=C1SC=C2CO
217,CC01409,O=C(NC1=CC=CC=C1Cl)N2CCN(CCC2)C3=NC(C4=CC=CC=C4)=NS3
218,CC03101,O=[N+]([O-])C1=CC=CN=C1N(CCC2)CCN2C(NC3=CC(C)=CC(C)=C3)=O
219,CC04701,O=[N+]([O-])C1=CC=CN=C1N(CCC2)CCN2C(NC3=CC=CC=C3Cl)=O
220,CC09214,NC1=CC2=NSN=C2C=C1
221,CC11601,O=C(NC1=CC=C(F)C=C1F)N2CCN(CCC2)C3=NC(C4=CC=CC=C4)=NS3
222,CC12401,O=C(NC1=CC=CC(Cl)=C1C)N2CCN(CCC2)C3=NC(C4=CC=CC=C4)=NS3
223,CC14009,ClC1=C(C=CC=C1Cl)N2C(SCC3=C(F)C=CC=C3Cl)=NC=C2
224,CC16201,O=S(C1=CC=C(C)C=C1)(NC(NCCCNC(OC(C)(C)C)=O)=O)=O
225,CC18101,CC1=CC(C)=CC(NC(NCCCNC(OC(C)(C)C)=O)=S)=C1
226,CC00243,FC(F)(F)C1=CC=C(/C=N/CCCNC(OC(C)(C)C)=O)C=C1
227,CC01501,CC1=NC(C(F)(F)F)=CC=C1C2=NN=C(SC(C(C=C3)=CC=C3Cl)=O)O2
228,CC03109,CC1=NC(C(F)(F)F)=CC=C1C2=NN=C(SCC3=CC(F)=CC(F)=C3)O2
229,CC05801,CC1=NC(C(F)(F)F)=CC=C1C2=NN=C(SCC=C)O2
230,CC09701,CC1=NC(C(F)(F)F)=CC=C1C2=NN=C(SCC#C)O2
231,CC11701,CC1=NC(C(F)(F)F)=CC=C1C2=NN=C(SC(C(C=C3)=C(C)N=C3C(F)(F)F)=O)O2
232,CC12701,O=C(NC1=CC=C(CCCC)C=C1C)N2CCN(CCC2)C3=NC(C4=CC=CC=C4)=NS3
233,CC14501,CC1=NC(C2=CC=C(S(NC3=CC=C(Br)C(C(F)(F)F)=C3)(=O)=O)S2)=CS1
234,CC16209,ClC1=CC=C2N=C(SC2=C1)N(CCC3)CCN3C(NC(C=C4)=C(C)C=C4CCCC)=O
235,CC18209,BrC(C=C(/C=N/NC(NC1=CC(Cl)=CC=C1Cl)=S)C=C2Br)=C2OCC(OCC)=O
236,AW00196,CC1=NC(C(F)(F)F)=CC=C1C2=NN=C(SCC(C3=CC=CS3)=O)O2
237,AW00219,CC1=NC(SCC(C2=CC=CS2)=O)=NC(O)=C1CC=C
238,AW00230,CC1=C(C(C)=CC(C)=C1)N2C(SCC(C3=CC=CS3)=O)=NN=N2
239,AW00241,FC(F)(F)C1=NC(N2CCCNCC2)=NC=C1
240,AW00255,S=C(N(CCC1)CCN1C(OC(C)(C)C)=O)NC2=CC(C(F)(F)F)=CC=C2
241,AW00283,ClC1=CC(C(F)(F)F)=CN=C1N(CCC2)CCN2C(NC3=CC(F)=CC(F)=C3)=O
242,AW00308,CC1=NC(C(F)(F)F)=CC=C1C2=NN=C(SCC(C=C3)=CC=C3OC(F)(F)F)O2
243,AW00322,ClC1=CC(C(F)(F)F)=CN=C1N(CCC2)CCN2C(NC3=CC=C(C)C=C3C)=S
244,AW00336,CC1=C(C(C)=CC(C)=C1)N2C(SCC(C=C3)=CC=C3OC(F)(F)F)=NN=N2
245,AW00359,O=C1N(C2=CC=CN=C2)C(SCC(C3=CC=CS3)=O)=NC4=CC=CC=C14
246,AW00197,C1(C2=CC=CS2)=CSC(NC3=CC=CN=C3)=N1
247,AW00221,FC1=CC=CC(Cl)=C1CN(CCC2)CCN2C(NC3=CC(C)=CC(C)=C3)=O
248,AW00231,CC1=CC(C)=CC=C1NC(NCCCNC(C2=CC=CS2)=O)=S
249,AW00242,CC1=NC(C2=CC=C(S(NCCCN)(=O)=O)S2)=CS1
251,AW00293,ClC1=CC(Cl)=CC=C1CN(CCC2)CCN2C(NC(C=C3)=CC=C3F)=S
252,AW00309,CC(C=C1)=C(C=C1Cl)NC(N(CCC2)CCN2CC3=CC=C(Cl)C=C3Cl)=S
253,AW00323,S=C(NC(C=C1)=CC=C1Cl)N(CCC2)CCN2CC(C=C3)=CC=C3F
254,AW00338,S=C(NC(C=C1)=CC=C1F)N(CCC2)CCN2CC(C=C3)=CC=C3F
255,AW00361,ClC1=CC(Cl)=CC=C1CN(CCC2)CCN2C(NC3=CN=CC=C3)=S
256,AW00201,FC1=C(C(Cl)=CC=C1)CN(CCC2)CCN2C(NC3CCCCCCC3)=S
257,AW00222,FC1=C(C(Cl)=CC=C1)CN(CCC2)CCN2C(NC3=CC=CC(Cl)=C3C)=O
258,AW00233,CC1=C(Cl)C=CC=C1NC(N(CCC2)CCN2CC3=CC=C(F)C=C3)=S
259,AW00243,ClC1=CC(Cl)=CC=C1CN(CCC2)CCN2C(NS(C(C=C3)=CC=C3C)(=O)=O)=O
260,AW00257,CC1=NC(C(F)(F)F)=CC=C1C2=NN=C(SC)O2
261,AW00294,O=C(NS(C1=CC=C(C)C=C1)(=O)=O)NC2=C(NCCNC(OC(C)(C)C)=O)C=CC(C(F)(F)F)=C2
262,AW00311,CC1=C(C=CC(C)=C1)N2C(SCC3=C(F)C=CC=C3Cl)=NN=N2
263,AW00325,OC1=CC(C2=CC=CC=C2)=NC(SCC3=C(F)C=CC=C3Cl)=N1
264,AW00339,FC1=CC=CC(Cl)=C1CSC2=NN=C(O2)C3=CC=CO3
265,AW00362,CC1=NC(SCC2=C(F)C=CC=C2Cl)=NC(O)=C1CC3=CC=C(C)C=C3
266,AW00203,CC1=NC(SCC2=C(F)C=CC=C2Cl)=NC(O)=C1CCCC
